Ind_ID	PosInd_X	PosInd_Y	PhenValue	Region
3128	1.50806	4.75311	0.962301	1
3131	1.29091	22.9662	1.15029	1
3140	2.22372	8.66125	0.802379	1
3141	1.64058	8.75004	0.290224	1
3165	0.270701	15.5383	0.290335	1
3167	2.31222	23.3006	0.392691	1
3172	0.771116	2.94122	0.396891	1
3181	2.42358	6.84121	1.03294	1
3196	1.38801	22.7562	0.517832	1
3201	1.37577	19.0374	0.286834	1
3240	0.466323	18.441	0.592412	1
3241	0.6439	17.132	1.29117	1
3246	1.62221	5.92047	0.747618	1
3254	0.313578	8.59561	0.515485	1
3287	1.64589	13.1139	0.957841	1
3294	0.240337	11.6364	0.495557	1
3306	1.04698	10.0747	0.357785	1
3307	0.451691	15.0988	0.520443	1
3314	1.3438	8.95622	0.876803	1
3315	1.79659	8.00232	0.713236	1
3316	2.0863	1.80515	0.937697	1
3322	0.30216	1.68207	0.422705	1
3350	2.21762	5.7136	0.681476	1
3355	0.0309755	17.392	0.25655	1
3357	1.35199	24.5412	1.07627	1
3392	0.220151	24.8892	0.102032	1
3393	1.18884	20.8157	1.80062	1
3402	1.97364	1.15985	1.21243	1
3408	0.130447	5.20984	0.807889	1
3409	0.720514	8.57471	0.213832	1
3420	1.144	23.5478	0.673651	1
3421	1.75336	1.96397	0.387042	1
3437	1.28329	9.50776	1.65245	1
3439	1.80933	18.5216	0.22293	1
3444	2.26455	17.5107	0.507736	1
3507	0.335743	9.67415	0.842832	1
3515	2.29138	15.7829	0.499982	1
3527	2.17932	24.7695	0.0735872	1
3548	0.571614	14.3097	0.761624	1
3551	2.22702	3.04857	-0.476226	1
3565	2.27591	3.5772	0.0394312	1
3580	0.329296	2.08687	0.503954	1
3581	0.354763	2.25424	0.688035	1
3590	1.44679	10.4416	0.797034	1
3593	1.88159	11.2318	0.143684	1
3602	2.01557	13.4408	0.307236	1
3618	1.67225	14.8886	0.360941	1
3620	2.02014	20.6448	0.80705	1
3638	0.760104	7.84326	0.328015	1
3642	1.91615	20.0909	0.94788	1
3644	1.88787	18.7291	0.263288	1
3648	2.43103	12.7718	0.230634	1
3660	0.99613	15.6845	0.520038	1
3677	0.782219	17.6161	0.399695	1
3713	2.44946	14.2699	0.276541	1
3721	0.411878	9.25911	0.311887	1
3733	2.4555	16.0951	-0.0108271	1
3754	0.51636	18.3957	0.157643	1
3766	1.66438	10.1183	0.811914	1
3799	1.01554	21.6075	1.01645	1
3819	2.46656	6.48958	0.497082	1
3846	2.11861	21.9123	0.977811	1
3852	1.4064	15.8767	1.20649	1
3856	1.67639	1.26574	0.723771	1
3891	1.08908	22.785	0.860722	1
3892	1.51401	11.7104	0.160937	1
3916	0.65464	16.5995	0.303974	1
3918	0.274645	2.01555	0.232985	1
3919	2.08484	17.5789	0.529061	1
3923	0.377603	21.68	0.491109	1
3930	2.06777	10.9186	0.665868	1
3933	1.08378	3.54344	0.449121	1
3950	2.21599	1.98738	0.132841	1
3956	1.00886	4.02711	0.413083	1
3961	0.807957	21.6488	0.907282	1
3983	0.573125	9.86613	1.3629	1
4013	0.0128568	5.20037	0.787123	1
4014	0.736674	4.7306	-0.0847146	1
4015	0.378994	5.39688	0.118698	1
4061	1.54733	5.93905	0.927411	1
4065	2.48173	14.6542	0.463025	1
4072	0.300536	6.83392	-0.257959	1
4073	0.381965	16.1533	0.39884	1
6	2.63234	3.4585	0.687884	2
20	2.64096	20.0144	0.779006	2
26	3.19401	19.3036	0.51958	2
63	4.75921	10.8872	0.315438	2
77	3.31318	18.5005	0.40715	2
89	3.90301	11.3334	0.286308	2
94	2.56707	4.27745	0.298306	2
117	4.47986	5.08422	0.345661	2
126	2.52922	20.9416	-0.310544	2
127	2.96871	4.48123	1.20199	2
128	3.17255	23.6588	1.00176	2
130	3.03286	22.3681	-0.0512753	2
170	4.50998	24.5208	0.158914	2
178	3.02278	11.0574	-0.000839938	2
186	4.82358	17.808	1.21981	2
188	3.12181	4.50085	0.0789985	2
195	4.35855	9.09501	0.377513	2
216	3.18174	7.07082	1.25498	2
222	3.14674	19.7317	0.492324	2
231	4.86342	7.19616	1.0589	2
237	4.63845	13.7394	0.0414521	2
248	4.26298	24.168	0.403387	2
259	4.43564	19.8113	0.81002	2
264	3.16326	16.8197	0.680857	2
272	3.2147	17.4641	0.743111	2
278	3.39992	0.344722	0.723779	2
294	3.53074	18.8245	0.46357	2
316	4.31554	4.47925	0.789688	2
320	2.65529	20.0024	0.539775	2
325	4.59423	18.5041	0.592762	2
333	3.84651	13.8139	-0.0413094	2
334	3.06467	5.88631	0.820046	2
339	4.86446	22.1919	0.472929	2
354	3.85428	1.75549	0.593889	2
359	2.76641	10.4115	0.854032	2
370	4.27979	18.4845	0.031468	2
381	3.27517	8.96497	0.645464	2
401	3.58716	17.6781	-0.164241	2
402	3.12506	10.1398	0.507141	2
409	3.79184	20.8048	0.99283	2
411	3.01972	2.31953	1.187	2
414	3.46562	6.13482	-0.0185159	2
439	3.88652	7.59641	0.55478	2
441	2.85395	20.9578	0.258704	2
449	4.50806	11.9165	-0.196958	2
456	4.67518	23.3535	0.585318	2
466	2.97529	21.7109	-0.0544226	2
469	4.72914	17.2462	0.685386	2
490	4.49272	21.8391	0.105914	2
506	2.62117	12.9117	0.442519	2
509	3.52024	6.01682	0.297668	2
531	3.03932	24.6054	0.414646	2
534	4.73611	19.3247	-0.0769084	2
549	3.42332	14.2041	0.371458	2
550	2.54695	14.3553	0.0338658	2
551	4.68903	1.76176	0.308509	2
561	3.57276	17.9802	0.715794	2
579	3.51963	14.909	0.696101	2
594	3.72279	16.22	0.422341	2
627	3.00466	7.41836	0.0293061	2
645	4.16069	4.10831	0.282425	2
654	4.46184	18.4672	0.129752	2
659	3.2505	3.86619	-0.192306	2
661	4.78761	23.5181	0.814465	2
669	4.67724	12.1436	0.950255	2
705	3.03871	7.88177	0.603272	2
713	4.65063	15.8937	0.897932	2
715	4.87204	3.50137	0.742995	2
727	2.75025	22.0948	0.615307	2
729	3.02206	19.5622	0.0839932	2
735	2.88087	12.1262	-0.217413	2
763	3.29746	3.47528	0.291147	2
773	3.43958	11.3437	0.203667	2
787	2.99642	11.2636	0.726125	2
789	3.85503	1.07345	1.74007	2
803	4.53491	23.2853	1.23108	2
