Ind_ID	PosInd_X	PosInd_Y	MutEffect	Region
1121	4.94318	0.467372	0.257265	1
1124	0.590096	22.9975	0.542495	1
1125	3.96007	16.3249	0.49963	1
1126	3.69079	19.3548	0.815919	1
1127	3.6348	11.232	-0.252785	1
1128	0.000200779	6.15328	1.0416	1
1135	1.13231	16.3874	0.714526	1
1137	1.05958	10.7879	0.59725	1
1148	3.42915	4.71013	-0.00177635	1
1149	3.60935	2.98043	-0.64278	1
1156	4.22264	18.164	-0.179024	1
1160	4.29632	22.419	0.486559	1
1164	3.76344	0.72804	0.483952	1
1170	1.59981	17.079	0.18083	1
1177	3.552	20.6779	0.0356435	1
1179	2.62727	21.006	-0.488126	1
1180	2.03901	12.5134	0.475519	1
1183	3.62415	1.58605	0.327546	1
1187	2.0936	20.7874	0.236924	1
1188	1.80022	23.7478	0.289565	1
1192	4.75963	14.6561	-0.144372	1
1198	0.631647	8.33697	0.644291	1
1203	4.50078	22.1715	0.156776	1
1207	3.49958	16.3643	0.769923	1
1213	0.760044	20.8436	0.737129	1
1214	0.0120756	6.70192	1.46799	1
1219	3.96214	14.4282	0.538784	1
1220	1.79589	14.9934	-0.0768413	1
1222	2.2753	18.9758	-0.758828	1
1223	0.719673	8.40162	0.985543	1
1225	1.58983	10.3477	0.773038	1
1230	3.39218	9.83252	1.24499	1
1242	1.77452	12.3316	0.845838	1
1243	2.1356	3.89456	0.145801	1
1253	3.49151	19.9262	0.451096	1
1262	0.57446	24.0064	-0.146709	1
1264	3.14806	21.4791	1.06141	1
1276	1.30959	5.64979	0.0782196	1
1277	0.401123	22.4165	0.0650038	1
1278	1.67681	11.7839	0.852207	1
1281	1.86342	13.5264	0.949952	1
1287	4.87882	18.3246	0.317036	1
1296	4.09247	4.65203	0.216132	1
1305	4.14216	21.8347	-0.629032	1
1310	1.52828	7.81223	0.650121	1
1312	1.74019	14.2163	0.343394	1
1313	1.41914	13.0827	0.600217	1
1315	1.79028	0.211491	1.3118	1
1316	2.24477	5.2624	0.204895	1
1323	0.421368	2.32867	0.534703	1
1331	1.1797	19.5878	0.820135	1
1333	1.97148	14.5737	0.494569	1
1337	0.689059	14.381	-0.0202583	1
1339	4.93322	8.98544	-0.158884	1
1355	0.818617	21.0632	0.131529	1
1356	2.74448	6.14604	-0.624538	1
1357	3.83717	3.22767	-0.285169	1
1363	0.718407	13.5444	-0.00700419	1
1364	2.67265	20.5919	-0.227731	1
1365	0.842939	7.87688	-0.73306	1
1366	0.429503	15.5127	0.428302	1
1372	0.973318	22.0003	0.726787	1
1375	4.39781	13.5083	0.684286	1
1402	2.7904	23.2882	0.341121	1
1410	2.78953	16.3131	0.0147407	1
