IND_ID	Opt	Phen	AbsErr	Fitness
296.0	0.371351	0.735799	0.364449	0.790722
297.0	0.389396	0.662874	0.273478	0.780002
298.0	0.923621	0.88755	0.0360711	0.69393
299.0	0.0237066	0.442126	0.418419	0.806893
300.0	0.290187	0.138526	0.151661	0.823651
301.0	0.526556	0.864615	0.338059	0.796743
302.0	0.819599	0.608647	0.210953	0.827183
303.0	0.946698	-0.070855	1.01755	0.799285
304.0	0.0698433	0.425321	0.355477	0.845719
305.0	0.587591	0.239347	0.348244	0.805582
306.0	0.322785	0.506052	0.183267	0.888972
307.0	0.600557	1.22827	0.627709	0.78223
308.0	0.522942	0.487628	0.0353143	0.828448
309.0	0.0839207	-0.157273	0.241194	0.784886
310.0	0.108111	0.863225	0.755114	0.700419
311.0	0.490248	0.84069	0.350442	0.802705
312.0	0.667533	0.468271	0.199262	0.867844
313.0	0.37746	0.502651	0.125191	0.707292
314.0	0.408023	0.454328	0.0463049	0.851996
315.0	0.583622	0.00015575	0.583466	0.785268
316.0	0.917041	0.483473	0.433568	0.870745
317.0	0.131303	0.434645	0.303343	0.80685
318.0	0.937081	1.21691	0.279828	0.778442
319.0	0.997298	0.0275005	0.969797	0.65821
320.0	0.191891	0.614887	0.422996	0.788958
321.0	0.188815	0.172637	0.0161776	0.895025
322.0	0.245987	0.575718	0.329731	0.790931
323.0	0.329334	0.690549	0.361215	0.795428
324.0	0.406634	-0.223969	0.630603	0.705991
325.0	0.737624	1.01054	0.272919	0.800471
326.0	0.779951	0.632515	0.147436	0.790925
327.0	0.519811	0.315796	0.204015	0.765987
328.0	0.683687	0.408398	0.275289	0.821569
329.0	0.747324	1.26676	0.519434	0.690452
330.0	0.0141637	-0.293434	0.307598	0.801392
331.0	0.957565	0.590129	0.367436	0.782106
332.0	0.164642	0.231103	0.0664609	0.791001
333.0	0.0406458	0.145778	0.105132	0.914806
334.0	0.700845	0.613221	0.0876244	0.725044
335.0	0.552157	0.685544	0.133387	0.72921
336.0	0.149529	0.444316	0.294786	0.852913
337.0	0.287366	0.160306	0.12706	0.8586
338.0	0.183853	0.649183	0.46533	0.57904
339.0	0.790652	0.656691	0.133961	0.87793
340.0	0.336094	0.34858	0.0124866	0.749163
341.0	0.740472	0.714907	0.025565	0.892761
342.0	0.314462	0.29416	0.0203024	0.890416
343.0	0.401631	0.627954	0.226323	0.783682
344.0	0.329454	0.69894	0.369485	0.663985
