Ind_ID	PosInd_X	PosInd_Y	MutEffect	Region
1150	2.4718	12.6547	0.108925	1
1156	2.21918	6.71562	0.018186	1
1157	2.29492	21.8716	0.152966	1
1171	2.3194	4.09682	-0.0377247	1
1174	1.41865	19.1074	-0.1188	1
1184	1.18295	2.85035	-0.0948984	1
1210	2.18417	15.5884	-0.350159	1
1234	1.85636	21.7184	-0.496539	1
1243	1.87968	18.8885	0.05078	1
1271	2.00331	12.9904	-0.292648	1
1279	1.60256	14.0766	-0.167426	1
1280	1.79709	13.628	-0.631734	1
6	2.70502	19.6952	-0.151484	2
7	4.26995	13.1181	0.656678	2
8	4.82373	7.78773	-0.10821	2
11	3.55673	22.3388	-0.178219	2
16	3.24837	14.3847	-0.637618	2
37	3.21473	3.94283	-0.354436	2
40	4.22798	11.659	-0.187785	2
48	3.54632	20.65	-0.163011	2
58	3.4555	9.52797	-0.157008	2
68	4.31088	2.53974	-0.148598	2
71	2.66256	9.1405	-0.290509	2
72	3.86094	5.19134	-0.078356	2
78	3.09998	3.96884	-0.472186	2
91	3.45277	18.6877	0.308957	2
116	3.65701	21.1441	0.237972	2
117	4.19674	12.3765	-0.410813	2
120	4.07687	5.1604	-0.0317704	2
163	3.99739	15.9506	-0.183412	2
167	2.88098	9.55028	-0.246367	2
176	3.14009	5.32769	-1.38744	2
183	4.06141	21.6897	-0.74543	2
188	4.66482	20.6813	-0.0656435	2
189	3.73707	11.6999	0.74297	2
195	3.31255	3.4817	-0.390431	2
197	4.14313	14.5763	-0.214285	2
202	2.64678	13.1426	0.296086	2
203	4.47896	14.3191	-0.478936	2
217	4.41447	6.59298	0.443454	2
225	2.63979	13.9065	-0.122358	2
228	4.2999	16.4878	-0.690667	2
232	3.14736	16.487	0.0393382	2
234	4.76112	11.862	-0.254032	2
238	3.11441	11.831	0.44017	2
245	4.91622	13.876	0.0217158	2
249	2.8986	20.8318	-0.0384906	2
256	4.28394	0.781262	-0.0698656	2
261	4.07897	16.9073	-0.155628	2
266	4.98403	1.0568	0.0711714	2
272	4.83375	17.3296	0.603505	2
290	4.65835	7.85747	-0.190407	2
299	4.82253	14.7639	0.732969	2
307	3.07243	9.67746	-0.0444995	2
308	3.79725	17.0705	0.324107	2
334	2.74455	8.88031	-1.02693	2
339	2.67449	16.0548	0.581644	2
351	3.52277	4.35142	-0.117962	2
354	2.8578	14.7505	0.390348	2
378	4.15182	21.788	-0.356277	2
391	3.72627	14.7007	0.0663733	2
394	4.8933	17.6636	-0.457685	2
398	3.67522	13.2354	-0.620732	2
403	3.38978	12.684	0.741061	2
406	2.57801	14.1042	-0.699149	2
408	3.43356	13.3934	-0.2227	2
421	4.09608	11.0917	-0.110891	2
436	2.87216	24.4587	0.501739	2
440	2.55106	5.85145	-0.350211	2
442	3.32534	17.753	0.379929	2
443	2.6835	23.624	0.815123	2
450	3.91092	11.6299	-0.103732	2
458	4.14027	20.4976	0.284725	2
469	2.94542	6.54605	0.164004	2
478	3.33277	12.2213	-0.528668	2
481	2.95845	17.9555	0.136694	2
485	2.73369	5.83683	0.193785	2
502	4.19292	19.8194	-0.00509851	2
511	3.88767	24.9668	0.70908	2
519	3.59794	18.6454	-0.495098	2
522	4.82296	18.9188	-0.344127	2
553	2.73249	23.8193	-0.228561	2
557	4.19652	6.84538	0.662347	2
581	4.30149	4.93944	0.160104	2
595	4.88348	6.64496	-0.204357	2
597	4.34036	13.3413	0.0313265	2
602	3.21982	20.4975	-0.226213	2
607	3.86845	21.5386	-0.0546733	2
609	4.11174	19.6766	0.519018	2
628	3.91181	21.1384	0.210814	2
629	3.63955	3.93796	-1.303	2
643	2.81882	5.6461	-0.258745	2
645	4.74847	11.5334	-0.363913	2
653	2.60616	19.4005	-0.371078	2
654	2.73578	20.1497	0.840509	2
661	3.5751	21.1581	0.654847	2
665	4.95194	16.1371	-0.609574	2
667	3.95096	16.2845	-0.804511	2
680	2.70864	11.5461	-0.0349183	2
682	4.32205	13.0545	0.364616	2
685	2.81445	7.3691	-0.654234	2
710	2.82696	21.7824	0.154656	2
728	2.73269	11.4745	0.0243436	2
737	3.07317	22.3057	0.0446297	2
748	3.7681	13.743	0.398014	2
757	3.3908	12.9437	-0.112154	2
759	4.97128	11.5433	0.52641	2
772	4.55553	14.7473	-0.354829	2
776	3.86071	18.0165	-0.174276	2
779	3.91898	11.3634	-0.684481	2
783	2.59365	20.0937	0.683275	2
789	4.93434	8.8202	-0.980307	2
820	3.01223	24.6665	0.370738	2
821	3.61695	18.1393	0.119093	2
828	3.19172	16.5595	0.396777	2
843	2.81292	22.8626	-0.600438	2
844	3.82848	16.6017	-0.242415	2
859	3.5833	18.1091	-0.880034	2
868	3.3413	18.5576	-0.0221897	2
