Ind_ID	PosInd_X	PosInd_Y	MutEffect	Region
942	3.67133	4.3322	1.21222	1
945	6.795	14.7213	0.410433	1
947	6.85398	21.8392	0.628784	1
948	8.11115	5.49524	-0.0355635	1
950	4.25198	0.366568	-0.125178	1
952	8.22568	2.97027	-0.0232628	1
953	8.32354	3.42255	-0.0852518	1
956	2.06759	2.94664	0.519068	1
957	5.38509	19.3451	0.22447	1
961	2.37691	5.94518	0.145323	1
962	0.888194	5.92283	0.126789	1
963	0.803447	19.6938	0.869628	1
970	1.5254	23.879	0.559985	1
971	2.19632	19.443	-0.448263	1
973	7.64117	2.72559	0.722597	1
977	7.35028	6.2734	0.924374	1
982	6.81671	3.3862	-0.180769	1
987	2.2646	3.60918	0.148272	1
992	0.599861	22.261	1.43028	1
996	4.11024	6.81352	0.0680846	1
1007	5.32424	1.18802	0.31179	1
1008	0.146139	6.11628	0.0355824	1
1009	4.32034	11.0721	0.243138	1
1012	0.395506	10.9745	0.156119	1
1014	1.21278	18.0955	0.642061	1
1017	3.8585	8.79705	0.603651	1
1019	6.65763	17.466	0.412255	1
1020	6.24582	17.8202	0.521802	1
1022	1.6573	0.00137075	0.224077	1
1025	4.66084	6.0378	-0.0711794	1
1031	5.64684	5.89403	-0.0408669	1
1033	6.22316	24.3686	0.727299	1
1034	5.30984	8.66553	0.433464	1
1038	5.68791	16.2853	0.79375	1
1042	0.476669	0.902266	0.926839	1
1043	7.09136	19.6189	0.782575	1
1044	1.2797	7.38149	1.04849	1
1047	0.478035	22.1419	0.369153	1
1049	1.83416	20.7376	0.858325	1
1054	2.21115	4.67515	0.525999	1
1055	7.40507	2.15237	0.905535	1
1056	2.14361	21.6398	0.792805	1
1060	2.66322	23.9209	0.471136	1
1064	7.26937	19.5633	0.80922	1
1067	4.25985	12.0565	0.842464	1
1068	7.30086	4.67483	-0.0636916	1
1077	6.57754	7.73868	0.315799	1
1078	2.5933	13.0853	0.218965	1
1083	7.00594	22.3056	0.136792	1
1084	2.33634	21.2582	0.398027	1
1085	1.15509	22.8236	-0.100333	1
1089	6.8882	12.3847	-0.177006	1
1090	1.08656	6.55815	-0.503263	1
1091	0.851137	7.84153	0.511833	1
1095	0.13558	0.310314	1.27284	1
1096	0.47381	24.9301	-0.267142	1
1100	1.3244	16.805	-0.00801838	1
1104	1.97328	23.6944	0.635967	1
1107	0.879234	24.9109	0.529778	1
1109	4.55848	0.321047	-0.0151135	1
1110	6.69261	4.97513	0.32886	1
1112	2.27834	20.9265	0.36402	1
1117	7.69378	1.1409	0.889456	1
1119	7.86955	17.7701	0.332367	1
1122	1.06688	12.1135	0.889078	1
1123	6.38579	13.4317	0.672633	1
1124	1.23919	19.5406	0.0264295	1
1127	2.16555	21.7898	1.22445	1
1130	7.16018	6.36182	0.418489	1
1136	7.88072	18.3008	0.317	1
1141	6.02157	15.8655	-0.248988	1
1142	5.79626	24.1943	-0.318134	1
1148	7.57296	6.66583	0.339812	1
1154	6.10791	3.62033	-0.750973	1
1156	7.10327	16.2975	0.595134	1
1159	7.92569	11.9132	-0.0481052	1
1160	0.734357	18.7059	-0.316108	1
1164	0.107749	13.8822	0.549054	1
1165	0.231499	5.37194	0.509848	1
1166	8.1982	3.54769	1.04319	1
1176	5.13852	20.901	0.732835	1
1177	3.39358	16.1354	0.417734	1
1178	5.67699	2.208	1.11761	1
1180	6.8354	14.5991	0.652117	1
1183	5.71176	17.2049	-0.297662	1
1184	1.09557	18.3217	0.168995	1
1185	2.27881	9.09503	0.295533	1
1186	2.96925	14.6814	-0.00745117	1
1188	4.38333	4.07787	0.074353	1
1190	6.4526	3.93259	0.744958	1
1192	8.33115	18.3848	-0.235808	1
1193	6.45082	6.70585	0.678715	1
1194	8.22703	12.6312	0.465365	1
1196	2.34583	12.3608	0.239894	1
1200	3.48598	18.8955	0.744189	1
1203	4.06345	19.8987	0.688954	1
1208	7.29037	6.85348e-05	-0.181008	1
1210	3.64597	21.0318	0.549855	1
1211	3.65336	21.7774	0.178618	1
1217	3.65254	20.1558	1.06902	1
1219	6.81574	0.818177	0.487472	1
1226	5.12292	19.2882	0.294473	1
1228	8.24233	19.5273	-0.184543	1
1231	2.06018	16.1727	0.228807	1
1235	7.42662	0.394188	0.0746995	1
1238	7.59522	19.6824	0.310944	1
1239	5.08233	17.9223	0.485887	1
1245	3.6257	14.9823	0.624886	1
1246	8.23263	12.8119	0.551668	1
1257	1.8483	6.02145	0.531159	1
1266	0.594865	9.32848	-0.309432	1
1267	0.424386	5.59514	0.298565	1
1268	6.78062	9.71573	0.229963	1
1269	3.16245	5.22553	0.420732	1
1270	5.6365	9.22948	1.07117	1
1277	6.36873	19.1404	-0.214826	1
1278	5.76086	24.2607	0.326404	1
1281	6.41713	16.5106	0.693408	1
1283	3.03286	1.61942	0.290124	1
1287	0.507374	21.0317	0.350276	1
1288	1.38334	20.5125	0.870053	1
1289	5.46384	11.0635	0.60032	1
1290	5.17071	8.90927	0.738679	1
1291	6.09894	8.99228	0.284101	1
1298	1.10656	12.4504	0.713657	1
1302	3.86308	10.5722	0.579475	1
1305	2.57259	6.81314	0.0683045	1
1307	0.559739	2.2768	0.750351	1
1308	0.0374297	17.6347	0.00365157	1
1310	1.98079	22.4502	-0.172547	1
1313	3.43345	24.1065	-0.453811	1
1314	5.82939	8.47016	0.247923	1
1315	2.01172	6.43355	-0.341517	1
1318	1.54668	11.0253	-1.02033	1
1320	1.95921	15.0247	0.605028	1
1322	0.504946	19.9382	-0.349621	1
1329	1.29435	18.6166	0.0123765	1
1330	6.55857	10.7124	0.474893	1
1333	2.59793	4.23944	-0.0708177	1
1335	6.92045	14.9349	0.210511	1
1336	0.406459	13.1835	-0.409157	1
1337	1.25899	10.8382	-0.45375	1
1341	6.01159	8.05125	-0.242757	1
1348	0.0944534	10.2807	0.176884	1
1351	4.0938	5.26265	0.582235	1
1355	5.39665	4.29013	0.302919	1
1357	5.73958	23.9916	0.323053	1
1358	4.66375	6.19085	0.0746734	1
1364	1.01823	4.41775	0.508703	1
1369	3.45657	7.85384	0.476486	1
1370	4.94715	2.60326	0.513846	1
1373	1.21661	14.4852	0.183397	1
1375	5.25478	7.63758	-0.325938	1
1378	6.81983	22.5073	0.616965	1
1386	3.47747	12.8354	0.474048	1
1389	0.113057	3.19665	0.139176	1
1390	0.761259	1.79688	0.144493	1
1398	6.36147	13.6224	-0.703193	1
1400	0.275689	13.6532	0.297577	1
1404	4.80515	24.8638	-0.00496953	1
1406	0.454238	19.8003	0.533699	1
1414	1.39506	20.5084	0.615707	1
1415	7.12699	8.88957	0.388889	1
1416	1.19597	24.2224	0.320468	1
1424	4.85033	17.848	-0.00508064	1
1426	8.06932	7.05088	0.657022	1
1428	4.29097	0.393194	0.112623	1
1432	0.475037	5.00601	0.226509	1
1436	5.081	18.0192	0.932437	1
1437	4.9278	13.0702	0.117807	1
1441	2.41752	23.0225	0.195161	1
1450	6.36075	18.2278	-0.0328961	1
1452	4.79746	8.68673	-0.160446	1
1455	4.33208	22.6453	-0.2755	1
1459	1.46274	23.1181	0.857341	1
1460	0.121334	17.0562	0.533477	1
1461	3.1796	11.9402	0.0988735	1
1468	1.8878	0.417948	0.583463	1
1470	4.54518	14.0314	0.369764	1
1473	6.81532	11.0522	0.0131181	1
1474	7.3201	3.92022	0.404404	1
1478	0.271542	12.6047	-0.0145249	1
1483	1.2822	13.0342	0.644678	1
1484	2.83836	1.76498	0.211977	1
1486	5.39161	6.11266	0.330631	1
1487	5.09732	6.4641	0.31724	1
1492	0.163165	8.54484	0.995587	1
1494	0.650982	15.8719	-0.414437	1
1495	3.52368	5.45074	0.150321	1
1498	1.47246	3.53305	0.299558	1
1500	1.2183	3.12218	0.629176	1
1502	4.10275	14.6938	0.15792	1
1503	6.57001	2.69705	-0.335187	1
1504	8.26525	10.5534	0.715214	1
1505	6.70443	16.2441	1.01186	1
1506	2.45173	10.4687	0.44412	1
1507	2.09582	9.23204	1.0495	1
1510	2.82469	3.39753	-0.52819	1
1512	6.25393	6.21017	0.576198	1
1522	7.96303	23.7565	0.000235608	1
1525	0.956015	0.0660335	0.680423	1
1533	6.35254	16.6426	-0.0067736	1
1538	1.89285	21.4954	0.125129	1
1542	2.63833	22.0389	0.378419	1
1545	6.058	4.31558	0.111606	1
1546	3.99004	12.2962	0.117233	1
1548	4.04471	9.03734	0.0502672	1
1559	0.260596	13.3846	0.604212	1
1561	8.15907	21.658	0.864384	1
1562	8.29655	13.1215	0.244991	1
1569	3.09497	13.1796	0.756031	1
1570	2.45793	19.8931	1.23726	1
1573	5.83419	7.44629	-0.111087	1
1580	6.35175	11.3653	-0.0551172	1
1583	0.932503	2.42245	0.695232	1
1587	5.92839	3.45637	0.824523	1
1588	6.1059	3.11017	-0.336209	1
1589	5.55087	4.25677	0.0183394	1
1595	1.89291	2.20231	0.526917	1
1599	3.2914	6.7598	0.386661	1
1600	2.66047	21.2344	-0.816936	1
1603	7.31575	23.3322	0.61935	1
1606	4.88095	3.20252	-0.154364	1
1607	4.59106	24.3497	0.968803	1
1608	5.81696	10.1296	0.035153	1
1609	6.38411	21.3019	-0.166247	1
1610	5.97036	4.46745	-0.249345	1
1616	4.42554	20.5451	-0.0193359	1
