Ind_ID	PosInd_X	PosInd_Y	PhenValue	Region
2108	0.352789	18.2074	0.78897	1
2111	1.46682	23.1999	0.759213	1
2121	0.455517	16.8112	1.11207	1
2127	2.15876	12.4554	0.944835	1
2133	2.33883	4.52981	0.637336	1
2140	2.19707	1.01701	1.06041	1
2141	1.5525	2.04217	1.03101	1
2155	0.706589	20.4982	0.935098	1
2158	0.128562	7.7125	0.986389	1
2160	1.11469	14.2024	1.05676	1
2165	2.34594	16.0079	1.01888	1
2188	1.98631	10.0177	0.484999	1
2224	1.27265	19.4355	0.842804	1
2247	0.451471	11.0892	0.581477	1
2270	0.0231003	1.96505	0.812414	1
2279	2.30909	8.41696	0.817389	1
2280	1.9033	18.2493	0.819696	1
2290	2.0287	3.76524	0.371397	1
2299	2.06478	8.73305	0.827996	1
2300	2.37004	16.3245	1.23879	1
2316	0.336204	4.30355	0.688822	1
2318	1.84163	7.77337	0.681794	1
2333	2.3614	6.99337	0.468544	1
2335	0.587145	4.9653	0.64808	1
2339	0.836187	2.72786	0.99218	1
2350	0.55388	9.01925	0.379297	1
2363	1.64106	13.5282	0.615554	1
2364	0.550322	20.7663	0.30731	1
2372	2.30053	17.861	0.876089	1
2385	0.819573	1.11336	1.10888	1
2388	0.0731825	11.6726	0.338942	1
2393	1.00573	19.386	1.38223	1
2394	0.187401	22.6872	0.107466	1
2407	0.172669	22.8476	0.836303	1
2411	0.00206345	2.60402	0.590526	1
2415	1.14504	24.0806	0.55785	1
2426	2.33456	4.91352	0.859562	1
2431	1.40285	9.97295	0.936944	1
2440	2.41757	1.08557	0.980483	1
2442	2.4662	0.0715168	0.668089	1
2449	1.16144	19.4529	1.15153	1
2461	2.03424	15.2384	1.25287	1
2462	2.34699	22.7304	0.501717	1
2464	0.0653225	16.7617	0.679453	1
2475	2.15918	8.45806	0.531663	1
2476	1.84851	7.81775	0.557943	1
2489	2.48112	1.35057	0.797822	1
2498	2.3149	15.7529	0.656719	1
2515	2.31787	24.5927	0.933477	1
2551	1.49476	10.4105	1.48465	1
2554	1.98752	1.98262	0.602362	1
2557	1.84772	2.90293	0.644141	1
2578	0.881152	8.48549	1.24853	1
2589	0.751415	20.8041	0.583502	1
2593	2.02786	1.68062	0.856999	1
2595	0.235766	13.9103	0.878504	1
2596	0.85922	13.8702	1.12404	1
2608	1.5003	2.95343	0.763028	1
2609	0.354982	15.4715	1.24809	1
2611	1.15892	20.0694	0.880686	1
2621	0.675932	20.1343	0.902451	1
2626	1.94666	1.17713	0.707634	1
2629	1.76704	8.04787	0.405177	1
2631	0.349608	16.713	0.755821	1
2632	1.65543	22.2559	1.23387	1
2636	1.62413	14.5199	0.735417	1
2637	0.833582	14.4802	0.689093	1
2674	1.17593	5.85003	0.492439	1
2675	2.2002	21.795	0.819558	1
2676	1.20447	8.88263	0.825433	1
2679	0.724197	11.5738	0.417722	1
2680	0.667473	11.3527	0.725941	1
2681	0.87053	11.1022	0.561944	1
2693	2.00392	4.09195	0.707884	1
2704	1.27455	7.00506	1.1063	1
2706	2.22674	21.3803	0.874048	1
2711	0.171725	17.7401	0.391581	1
2714	1.93953	6.62118	0.836248	1
2759	1.88882	16.5028	1.11289	1
2762	0.11997	1.06615	0.609193	1
2781	0.253007	6.19332	0.574429	1
2782	2.46339	22.1354	1.04502	1
2785	1.81266	22.0575	0.570391	1
2790	0.737182	12.6032	0.809632	1
2809	1.31278	24.098	1.22836	1
2835	0.841747	15.6267	1.17962	1
2856	2.09813	18.9696	1.2625	1
2857	1.91587	20.3421	1.24048	1
2859	1.59062	12.3215	0.837561	1
2860	1.43206	11.8228	0.873639	1
2864	2.47349	17.8664	1.24878	1
2878	1.55413	10.5771	1.01616	1
2884	0.80921	7.45601	1.00197	1
2885	0.358813	7.57287	1.20179	1
2887	2.39213	5.32145	0.750517	1
2888	0.122296	8.06956	0.77916	1
2889	0.0730266	7.48382	0.919551	1
2900	1.46608	2.71904	0.954805	1
2903	1.15109	11.7367	1.04992	1
2904	1.52844	11.1815	1.06814	1
2909	1.82325	23.5251	0.702812	1
2920	1.54855	14.4401	1.51136	1
2930	1.8578	5.98545	0.518525	1
2936	2.34658	15.0179	1.21663	1
2937	1.75239	14.345	0.846615	1
2950	1.32418	16.3238	0.945656	1
2955	1.38739	24.52	0.477613	1
2959	0.959599	22.8443	0.881324	1
2965	1.2976	1.44434	0.95344	1
2967	1.11391	18.881	0.782864	1
2978	1.16806	13.2241	1.14936	1
2979	1.50739	9.36978	0.974546	1
2984	1.74558	15.9633	1.11997	1
3000	2.18763	19.2922	1.03027	1
3003	2.15754	3.52009	0.50599	1
3018	1.28285	6.24202	0.497289	1
3027	0.676627	1.76526	0.859238	1
3059	0.447935	13.7322	1.17579	1
3082	2.24131	4.59601	0.768917	1
3085	1.80249	23.0476	0.592537	1
3092	1.08923	3.9985	0.434496	1
3098	2.17996	13.1201	0.669782	1
3099	1.84248	15.4129	0.529427	1
3116	2.28858	4.93824	0.615495	1
3120	1.32036	17.3597	0.577129	1
3121	0.64715	23.7847	0.923189	1
3124	1.08223	4.41971	0.794819	1
3128	2.15733	15.3501	0.772158	1
3134	0.0976887	22.6706	0.238974	1
3143	0.53174	1.19703	0.72554	1
3151	1.00242	2.94965	0.465032	1
3160	2.2448	17.1998	1.00088	1
3161	0.809194	16.8301	0.863624	1
3173	2.00121	18.3092	0.876669	1
3184	0.964647	6.49765	0.400866	1
3204	2.41006	1.96799	0.802645	1
3209	1.27188	22.1885	0.737228	1
3210	0.293686	2.44406	0.791142	1
3217	1.73959	15.3417	0.715358	1
3231	0.959615	2.35368	0.609019	1
3232	0.792703	8.17189	1.05724	1
3251	1.50389	5.08479	0.812378	1
3265	1.46766	2.54077	0.601825	1
3270	0.557157	14.5879	1.24858	1
3293	1.63602	11.6331	0.158711	1
3301	1.28398	21.7193	0.703501	1
3311	0.48281	8.61767	0.9928	1
3365	0.921321	2.02462	0.585308	1
3382	0.566874	4.76313	0.449778	1
3388	1.65217	19.6447	0.90623	1
3414	0.0974585	9.70562	1.16949	1
3440	0.957798	20.1277	1.03539	1
3447	1.00839	24.5784	0.540038	1
3450	0.599468	24.352	0.608126	1
3455	1.0661	0.924702	0.856043	1
3469	0.682259	2.70351	0.760737	1
3470	1.83691	21.1774	0.612069	1
3471	2.00826	21.3792	0.505103	1
3481	1.36452	15.6555	0.590102	1
3482	0.793704	15.199	1.39365	1
3484	2.31889	6.61159	1.02538	1
3491	1.78339	16.3639	0.856551	1
3517	1.29699	11.436	0.124022	1
3527	2.04832	6.66096	1.07468	1
3550	0.703302	14.0774	1.52295	1
3554	0.639309	16.3383	0.863687	1
3590	0.834699	2.9837	0.723252	1
3591	0.749521	2.90152	0.664434	1
3599	2.44573	17.1985	1.12903	1
3629	0.753666	10.388	0.750031	1
3639	0.318403	21.0368	0.334883	1
3651	1.84572	11.7077	0.659143	1
3656	1.71672	0.277101	0.863054	1
3664	0.93032	11.2027	1.16573	1
3669	1.32542	17.04	1.1963	1
3695	1.01412	10.7617	0.927636	1
3699	0.518612	13.5157	1.46631	1
3726	1.17881	12.4422	1.02534	1
3736	1.70244	4.39251	1.14043	1
3750	1.11968	15.6532	1.04372	1
3779	2.06613	6.37201	0.581939	1
3782	1.03055	19.878	0.97015	1
3789	0.584878	10.384	0.465975	1
3801	0.41943	2.43777	0.629882	1
3817	2.21528	15.6335	1.26822	1
3829	1.3502	11.0935	0.922015	1
3850	0.825261	20.6849	1.08367	1
3851	1.54321	12.5916	1.0144	1
3852	1.51133	0.524973	0.689592	1
3855	0.295274	9.2613	1.35833	1
3856	0.358541	9.42416	0.607646	1
3889	1.80635	9.49463	1.4455	1
3928	2.08757	10.8947	0.532211	1
3931	0.860368	12.2592	0.743032	1
3935	1.80566	23.4747	0.628839	1
3940	0.0650211	10.9245	0.764312	1
3949	2.10955	16.9189	0.599466	1
3982	2.28122	18.1236	0.87475	1
3992	1.92347	1.54367	0.90576	1
3994	2.03905	1.53492	0.993106	1
4003	2.45943	14.207	0.576496	1
4005	1.96095	24.0736	0.841661	1
4006	2.06475	0.863182	1.07877	1
4007	2.18077	0.852916	1.12818	1
4014	1.07426	20.0427	1.07067	1
4031	0.108616	15.6101	0.811055	1
4052	0.603663	11.1975	0.615482	1
4062	0.81964	13.6557	0.595103	1
4077	2.14384	2.30001	0.511846	1
4091	2.25624	7.47374	0.839175	1
4092	2.49433	7.55899	0.812947	1
4	4.34893	1.74113	0.681346	2
7	3.23927	17.8752	1.28973	2
15	4.37399	24.5516	0.953579	2
33	3.30615	10.7956	0.519329	2
60	4.17928	2.79074	0.793181	2
69	3.24321	5.80808	0.801506	2
87	4.82941	10.5654	0.845704	2
90	3.87153	19.168	1.35514	2
96	4.55686	4.28023	0.641457	2
119	2.52395	4.38658	0.635128	2
122	4.67289	13.4121	0.696861	2
128	3.41238	0.544648	1.35043	2
148	3.29805	19.3458	1.30117	2
162	3.0097	24.7081	0.990154	2
189	4.47519	19.5414	0.697184	2
195	4.4548	8.5573	0.758688	2
196	3.19615	15.1768	0.958056	2
197	2.50992	19.7622	0.678162	2
205	3.53304	7.50965	-0.268179	2
211	3.58076	3.79544	0.489768	2
215	2.65202	9.53658	1.21737	2
249	4.95634	7.25633	-0.212921	2
250	3.01925	19.8683	1.15167	2
257	3.0397	12.4553	0.939662	2
258	4.44135	4.10745	0.552366	2
268	4.39859	10.4218	0.705213	2
295	4.41997	9.3847	0.827652	2
